5,15,5.0,30.75036120414734
6,18,7.0,37.09253406524658
7,21,7.0,43.61581563949585
8,24,8.0,49.71827054023743
9,27,10.0,55.9748649597168
10,30,11.0,61.72356462478638
11,33,12.0,68.46686935424805
12,36,14.0,74.78393077850342
13,39,15.0,80.92596220970154
14,42,16.0,87.40539526939392
15,45,17.0,94.10971450805664
16,48,18.0,100.24913024902344
17,51,19.0,106.56699681282043
18,54,20.0,114.01899886131287
19,57,21.0,119.27735924720764
20,60,23.0,125.63008999824524
21,63,23.0,132.2222123146057
22,66,25.0,139.42533659934998
23,69,25.0,145.93229913711548
24,72,27.0,152.65115332603455
25,75,28.0,159.08497714996338
26,78,28.0,166.57388401031494
27,81,30.0,173.71904134750366
28,84,30.0,180.23657083511353
29,87,32.0,186.77460861206055
30,90,33.0,194.14240503311157
31,93,34.0,200.33629631996155
32,96,34.0,207.17476511001587
33,99,37.0,214.766010761261
34,102,37.0,221.30953931808472
35,105,39.0,228.5620310306549
36,108,40.0,235.11932849884033
37,111,40.0,242.40586352348328
38,114,41.0,249.51222729682922
39,117,42.0,256.36275839805603
40,120,42.0,263.1735713481903
41,123,44.0,270.80860710144043
42,126,47.0,277.0494616031647
43,129,47.0,284.9924793243408
44,132,49.0,291.7788281440735
45,135,48.0,299.9726951122284
46,138,50.0,307.71537041664124
47,141,49.0,315.065913438797
48,144,50.0,323.12259817123413
49,147,52.0,330.8946135044098
50,150,53.0,337.85563373565674
51,153,55.0,345.8594012260437
52,156,55.0,353.5133447647095
53,159,55.0,361.08282947540283
54,162,58.0,369.9297239780426
55,165,58.0,376.9860043525696
56,168,59.0,384.58674669265747
57,171,60.0,391.56600069999695
58,174,62.0,399.48775458335876
59,177,62.0,407.69225811958313
60,180,63.0,414.82834672927856
61,183,63.0,424.6956343650818
62,186,65.0,430.7802791595459
63,189,65.0,437.69987654685974
64,192,67.0,447.1772127151489
65,195,67.0,453.95568680763245
66,198,70.0,461.21241760253906
67,201,68.0,471.1112368106842
68,204,70.0,477.9927270412445
69,207,71.0,487.55669021606445
70,210,73.0,493.6626570224762
71,213,74.0,502.19282364845276
72,216,75.0,509.9889419078827
73,219,77.0,518.1680810451508
74,222,77.0,524.3950481414795
75,225,76.0,534.2182128429413
76,228,79.0,540.9050574302673
77,231,79.0,546.7047488689423
78,234,80.0,553.7393734455109
79,237,85.0,563.5981228351593
80,240,82.0,569.5540630817413
81,243,85.0,579.001960515976
82,246,87.0,587.4912889003754
83,249,86.0,596.2906713485718
84,252,88.0,601.3354635238647
85,255,86.0,612.9441030025482
86,258,90.0,620.9517192840576
87,261,90.0,630.8612568378448
88,264,91.0,639.486391544342
89,267,90.0,648.4215548038483
90,270,93.0,658.444616317749
91,273,94.0,670.1865508556366
92,276,95.0,675.3316538333893
93,279,95.0,683.3972885608673
94,282,96.0,692.3682680130005
95,285,98.0,701.4701499938965
